date,strategy,training_start,training_end,training_observations,condition_number,minimum_eigenvalue,shrinkage,effective_n_assets,largest_weight
2013-01-02,quarterly_equal_weight,2011-12-29,2012-12-31,252,,,,9.0,0.1111111111111111
2013-01-02,inverse_volatility,2011-12-29,2012-12-31,252,,,,6.332140142910101,0.2452191622628812
2013-01-02,ledoit_wolf_min_variance,2011-12-29,2012-12-31,252,88.59689403678365,4.831194678800706e-06,0.025004424814459573,2.9061967986473203,0.4
2013-01-02,sample_min_variance,2011-12-29,2012-12-31,252,144.9182711695929,3.0279694344325182e-06,,2.8787036835919038,0.4
2013-04-01,ledoit_wolf_min_variance,2012-03-27,2013-03-28,252,91.97638972784048,4.077460019709546e-06,0.027436260310941065,2.922270085374998,0.4
2013-04-01,quarterly_equal_weight,2012-03-27,2013-03-28,252,,,,9.0,0.1111111111111111
2013-04-01,inverse_volatility,2012-03-27,2013-03-28,252,,,,6.342088317416965,0.2458375411296214
2013-04-01,sample_min_variance,2012-03-27,2013-03-28,252,163.5337479260877,2.356045132103152e-06,,2.9143269153830667,0.3999999999999999
2013-07-01,inverse_volatility,2012-06-27,2013-06-28,252,,,,6.841540189308133,0.22674740841074287
2013-07-01,ledoit_wolf_min_variance,2012-06-27,2013-06-28,252,58.852464446665955,5.927114981958731e-06,0.054743050419892865,2.9269365403662597,0.4
2013-07-01,quarterly_equal_weight,2012-06-27,2013-06-28,252,,,,9.0,0.1111111111111111
2013-07-01,sample_min_variance,2012-06-27,2013-06-28,252,172.4325634513288,2.124461364961112e-06,,2.922696478968959,0.4
2013-10-01,inverse_volatility,2012-09-27,2013-09-30,252,,,,7.386877512751192,0.20516294948000713
2013-10-01,ledoit_wolf_min_variance,2012-09-27,2013-09-30,252,45.862058410748006,6.7828140194788496e-06,0.0659230975096219,3.2650545976276995,0.39880319815176396
2013-10-01,quarterly_equal_weight,2012-09-27,2013-09-30,252,,,,9.0,0.1111111111111111
